rank,country,iso_n,value_usd_m,value_aud_m,quantity_tonnes,share_pct,origin_lat,origin_lon,value_per_tonne
1,Brazil,76,112.09,168.14,25092.0,25.5,-15.0,-47.0,6.7
2,Colombia,170,63.68,95.52,10990.0,14.5,4.6,-74.1,8.69
3,Honduras,340,38.89,58.34,7684.0,8.9,14.8,-86.5,7.59
4,Papua New Guinea,598,35.25,52.88,7958.0,8.0,-6.3,145.0,6.64
5,Vietnam,704,32.2,48.3,12460.0,7.3,14.1,108.3,3.88
6,Ethiopia,231,29.36,44.04,5496.0,6.7,9.1,40.5,8.01
7,India,356,19.42,29.13,5403.0,4.4,13.0,77.0,5.39
8,Nicaragua,558,14.13,21.2,2625.0,3.2,12.9,-85.2,8.08
9,Peru,604,13.48,20.22,2394.0,3.1,-9.2,-75.0,8.45
10,Guatemala,320,13.25,19.88,2165.0,3.0,15.5,-90.3,9.18
11,Kenya,404,12.14,18.21,1879.0,2.8,0.5,37.9,9.69
12,Indonesia,360,8.62,12.93,1632.0,2.0,-2.5,118.0,7.92
13,El Salvador,222,6.48,9.72,1050.0,1.5,13.8,-88.9,9.26
14,Costa Rica,188,6.41,9.62,1026.0,1.5,9.9,-84.0,9.38
15,Germany,276,5.86,8.79,1467.0,1.3,,,5.99
16,Mexico,484,5.76,8.64,1018.0,1.3,17.0,-96.0,8.49
17,Tanzania,834,4.64,6.96,928.0,1.1,-6.4,35.0,7.5
18,Uganda,800,3.45,5.18,819.0,0.8,1.3,32.5,6.32
19,Belgium,56,1.4,2.1,348.0,0.3,,,6.03
20,Switzerland,756,1.34,2.01,383.0,0.3,,,5.25
21,East Timor,626,1.32,1.98,233.0,0.3,-8.8,125.7,8.5
22,China,156,1.31,1.96,283.0,0.3,,,6.93
23,Rwanda,646,1.31,1.96,167.0,0.3,-1.9,29.9,11.74
24,Panama,591,1.27,1.9,209.0,0.3,8.5,-80.0,9.09
25,Djibouti,262,0.81,1.22,139.0,0.2,,,8.78
26,Denmark,208,0.8,1.2,96.0,0.2,,,12.5
27,Singapore,702,0.75,1.12,155.0,0.2,,,7.23
28,Burundi,108,0.73,1.1,104.0,0.2,-3.4,29.9,10.58
29,Western Sahara,732,0.42,0.63,96.0,0.1,,,6.56
30,Ecuador,218,0.37,0.55,24.0,0.1,-1.5,-78.5,22.92
31,Chile,152,0.3,0.45,38.0,0.1,,,11.84
32,Canada,124,0.29,0.43,64.0,0.1,,,6.72
33,Bolivia,68,0.28,0.42,21.0,0.1,-16.5,-65.0,20.0
34,United Kingdom,826,0.23,0.34,39.0,0.1,,,8.72
35,United States,840,0.17,0.26,29.0,0.0,,,8.97
36,Zambia,894,0.13,0.2,19.0,0.0,,,10.53
37,New Zealand,554,0.13,0.2,16.0,0.0,,,12.5
38,Netherlands,528,0.11,0.16,19.0,0.0,,,8.42
39,Myanmar,104,0.1,0.15,11.0,0.0,,,13.64
40,Malaysia,458,0.1,0.15,20.0,0.0,,,7.5
41,Hungary,348,0.08,0.12,21.0,0.0,,,5.71
42,Jamaica,388,0.08,0.12,1.0,0.0,,,120.0
43,Yemen,887,0.07,0.11,3.0,0.0,15.5,44.2,36.67
44,Thailand,764,0.05,0.08,5.0,0.0,,,16.0
45,Italy,380,0.05,0.08,10.0,0.0,,,8.0
46,Lao PDR,418,0.03,0.04,9.0,0.0,,,4.44
47,Nepal,524,0.03,0.04,2.0,0.0,,,20.0
48,Philippines,608,0.01,0.02,0.0,0.0,,,
49,France,250,0.0,0.0,0.0,0.0,,,
