trading_name,longitude,latitude,clue_small_area,venue_count,indoor_seats,outdoor_seats,total_seats
Darac,144.962074258,-37.8090975,Melbourne (CBD),1,44,6,50
Zawaddi,144.959996913,-37.80914342,Melbourne (CBD),1,117,22,139
Temple Arden,144.945468682,-37.80085798,North Melbourne,1,40,0,40
Curry Vault,144.960522489,-37.81642893,Melbourne (CBD),1,60,14,74
Treviso,144.960642239,-37.81669009,Melbourne (CBD),1,85,26,111
Haymarket Place,144.958998433,-37.80052523,Carlton,1,47,10,57
Seven Seeds,144.959127095,-37.8028778,Carlton,1,90,16,106
Vespa Rossa,144.964466115,-37.81529155,Melbourne (CBD),1,88,14,102
The Terrace,144.980372356,-37.83016975,Melbourne (Remainder),2,281,282,563
The Humble Goat,144.938522996,-37.79589356,North Melbourne,1,15,4,19
Lane's Edge Cafe,144.97204722,-37.81193572,Melbourne (CBD),1,26,82,108
Thaibaan,144.97179666,-37.81200666,Melbourne (CBD),1,70,0,70
Spaghetti Tree,144.971565871,-37.81212537,Melbourne (CBD),1,280,0,280
Magpie Nest Cafe,144.971449909,-37.81227428,Melbourne (CBD),1,150,0,150
Fancy Hank's / Good Heavens,144.97104042,-37.81217956,Melbourne (CBD),2,206,0,206
Beef Rice Noodle Bar,144.970902899,-37.812234,Melbourne (CBD),2,121,2,123
Heng Thai Local Food Hall,144.969463785,-37.81301069,Melbourne (CBD),1,100,0,100
Ishizuka,144.969165311,-37.81279907,Melbourne (CBD),1,16,0,16
Meating Korean BBQ,144.969042212,-37.81278439,Melbourne (CBD),1,80,0,80
Dohtonbori,144.968972072,-37.81280567,Melbourne (CBD),1,24,0,24
Nana Thai Style Hotpot & Bbq,144.968563153,-37.81294598,Melbourne (CBD),1,63,0,63
Thai Tide,144.96849715,-37.81296416,Melbourne (CBD),1,100,0,100
Taco Bill Mexican Restaurant,144.96841676,-37.81298798,Melbourne (CBD),2,97,0,97
8848 Momo House,144.96776365,-37.81316936,Melbourne (CBD),1,45,0,45
KFC,144.967526278,-37.81323955,Melbourne (CBD),1,50,0,50
Vapiano Bourke Street Mall,144.965407423,-37.81386024,Melbourne (CBD),1,253,0,253
Aru Melbourne,144.965235638,-37.81423669,Melbourne (CBD),1,110,0,110
Caffe E Torta,144.96404895,-37.81458812,Melbourne (CBD),1,28,28,56
Brothers & Co,144.962207824,-37.81510975,Melbourne (CBD),2,68,0,68
Cafe Felice,144.96018858,-37.81547268,Melbourne (CBD),1,14,40,54
Doughboys Doughnuts,144.957813206,-37.81636534,Melbourne (CBD),1,12,24,36
Axil Coffee Roasters,144.957017939,-37.81647428,Melbourne (CBD),1,80,0,80
Ca Fe In Melbourne,144.956668779,-37.81651426,Melbourne (CBD),2,73,36,109
Spin Coffee,144.955552859,-37.81677365,Melbourne (CBD),1,25,30,55
La Cucina Melbourne,144.954814617,-37.81601898,Melbourne (CBD),1,78,0,78
Brightside Bagels,144.955325332,-37.81622847,Melbourne (CBD),1,20,0,20
filly and fair,144.95610726,-37.81571392,Melbourne (CBD),2,108,119,227
Bluestones 520 Cafe,144.958386484,-37.81527349,Melbourne (CBD),1,70,16,86
Silk spoon,144.95876067,-37.81494883,Melbourne (CBD),6,382,0,382
Villas Restaurant & Bar,144.959196898,-37.81499761,Melbourne (CBD),1,60,8,68
B & Baguette Cafe,144.959379419,-37.8150902,Melbourne (CBD),1,16,8,24
CBD Bakery,144.95946409,-37.81506553,Melbourne (CBD),1,20,10,30
Corner & Bench,144.961491987,-37.8144361,Melbourne (CBD),1,32,40,72
McDonald's Bourke St West,144.961756204,-37.81416355,Melbourne (CBD),2,126,8,134
Shanghai Flower,144.962638938,-37.81411399,Melbourne (CBD),1,130,0,130
Ca De Vin,144.963287893,-37.81360425,Melbourne (CBD),3,52,198,250
Brunetti Myer Melbourne,144.963829469,-37.81344503,Melbourne (CBD),2,153,0,153
Squiseato,144.964398413,-37.81330938,Melbourne (CBD),1,40,0,40
Melbourne Dae Jang Geum Korean BBQ,144.9658365,-37.81296443,Melbourne (CBD),1,120,0,120
Mr Bo Restaurant,144.966295166,-37.81272047,Melbourne (CBD),3,150,0,150
Shaxian Snacks,144.966737509,-37.81291316,Melbourne (CBD),1,18,0,18
China Chilli,144.966876772,-37.81259409,Melbourne (CBD),6,573,10,583
Panda BBQ,144.967176975,-37.81265942,Melbourne (CBD),1,120,0,120
Pearl Chablis And Oyster Bar,144.967282791,-37.81244678,Melbourne (CBD),8,239,100,339
Udon Yasan,144.967688805,-37.81267583,Melbourne (CBD),1,35,0,35
Udon Izakaya Maedaya,144.968247927,-37.81251216,Melbourne (CBD),2,90,0,90
Momo Central,144.968385931,-37.81247257,Melbourne (CBD),1,20,0,20
White Tomato,144.968470149,-37.81244855,Melbourne (CBD),1,70,0,70
Ginza Teppanyaki Japanese Restaurant,144.968535908,-37.81206119,Melbourne (CBD),2,320,0,320
Yu Long Fu,144.968857274,-37.81199769,Melbourne (CBD),2,380,0,380
Tan Hot Pot,144.969182314,-37.81223835,Melbourne (CBD),1,76,0,76
Flower Drum,144.969264504,-37.81207094,Melbourne (CBD),1,150,0,150
Niku Ou,144.969777753,-37.81170307,Melbourne (CBD),2,170,0,170
sot,144.970170292,-37.81194604,Melbourne (CBD),1,70,0,70
Grossi Florentino,144.970847236,-37.81172969,Melbourne (CBD),1,210,54,264
Ombra,144.97094423,-37.81170263,Melbourne (CBD),1,75,11,86
Bottega Restaurant,144.971007419,-37.81168307,Melbourne (CBD),1,130,22,152
Martini With Mancini / Bossa Nova,144.971075461,-37.81166963,Melbourne (CBD),1,30,12,42
Pellegrini's Espresso Bar,144.971163378,-37.81165009,Melbourne (CBD),1,40,13,53
Taco Bill Mexican Restaurant,144.971688988,-37.81137727,Melbourne (CBD),1,81,12,93
Thong Thai,144.972362677,-37.811289,Melbourne (CBD),1,38,0,38
Recoleta,144.97255541,-37.81123539,Melbourne (CBD),2,52,24,76
Humble Rays,144.961410001,-37.80477948,Carlton,1,60,12,72
Cafe Tre Sette,144.961699343,-37.80322367,Carlton,1,42,24,66
Mr Bello,144.964279069,-37.80543863,Carlton,1,20,24,44
Woodside Green,144.964446103,-37.80486182,Carlton,1,18,18,36
Le Miel Et La Lune,144.966377828,-37.79685803,Carlton,1,35,8,43
Chargrilled Vietnamese Kitchen,144.965626451,-37.80132569,Carlton,2,74,21,95
Supper Inn Chinese Restaurant,144.96613017,-37.81188094,Melbourne (CBD),1,70,0,70
Heyday Hong Kong Cafe,144.966372569,-37.81181046,Melbourne (CBD),1,16,0,16
Cafe Vicolino,144.965474376,-37.81664468,Melbourne (CBD),2,116,42,158
Ojika Japanese,144.965596537,-37.8166033,Melbourne (CBD),4,103,34,137
Square & Compass,144.984112154,-37.80970434,East Melbourne,1,51,13,64
Albert & Grey Cafe,144.984140646,-37.81104846,East Melbourne,1,60,0,60
Yeonga,144.956922989,-37.80560474,North Melbourne,1,150,0,150
Gurkhas Cbd,144.968915174,-37.81104301,Melbourne (CBD),1,100,0,100
Sage And Grace - The Communitas Café,144.960593135,-37.79301729,Parkville,1,50,4,54
Howitt House,144.973720068,-37.81372701,Melbourne (CBD),1,28,0,28
Mamasita,144.973462178,-37.81377997,Melbourne (CBD),1,70,0,70
Dame Melbourne,144.972628037,-37.81430615,Melbourne (CBD),5,540,40,580
Asian Pavilion,144.972628037,-37.81430615,Melbourne (CBD),2,68,13,81
Grill Americano,144.970749785,-37.81492031,Melbourne (CBD),2,188,0,188
Il Solito Posto,144.970259785,-37.81468591,Melbourne (CBD),1,70,0,70
Philippe,144.970007274,-37.81473508,Melbourne (CBD),1,80,0,80
Liminal Melbourne,144.968755295,-37.81543178,Melbourne (CBD),2,262,0,262
