year,cafe_count,indoor_seats,outdoor_seats,total_seats,avg_seats_per_cafe,outdoor_pct,yoy_growth
2002,886,75127,10222,85349,96.3,12.0,
2003,914,77974,11762,89736,98.2,13.1,3.2
2004,944,78868,14390,93258,98.8,15.4,3.3
2005,1025,84933,17338,102271,99.8,17.0,8.6
2006,1065,86640,17952,104592,98.2,17.2,3.9
2007,1111,87622,18911,106533,95.9,17.8,4.3
2008,1169,90543,20538,111081,95.0,18.5,5.2
2009,1253,95924,22496,118420,94.5,19.0,7.2
2010,1301,93014,23686,116700,89.7,20.3,3.8
2011,1363,98778,24871,123649,90.7,20.1,4.8
2012,1427,101936,26162,128098,89.8,20.4,4.7
2013,1538,109017,28460,137477,89.4,20.7,7.8
2014,1620,115427,29359,144786,89.4,20.3,5.3
2015,1663,116977,29320,146297,88.0,20.0,2.7
2016,1725,120277,29614,149891,86.9,19.8,3.7
2017,1738,121775,29424,151199,87.0,19.5,0.8
2018,1756,120616,27640,148256,84.4,18.6,1.0
2019,1771,120520,27168,147688,83.4,18.4,0.9
2020,1649,111543,25249,136792,83.0,18.5,-6.9
2021,1595,106525,24926,131451,82.4,19.0,-3.3
2022,1536,103168,24102,127270,82.9,18.9,-3.7
2023,1561,100398,23579,123977,79.4,19.0,1.6
2024,1645,106759,23464,130223,79.2,18.0,5.4
