zone,cafe_count,indoor_seats,outdoor_seats,total_seats,area_km2,lat,lon,density,avg_seats,outdoor_pct,growth_pct_2002_2024
Melbourne (CBD),953,63408,9290,72698,2.486,-37.81381109987871,144.96291513859617,383.3,76.3,12.8,64.0
Carlton,176,10539,3199,13738,2.725,-37.79601167728975,144.966376105915,64.6,78.1,23.3,46.7
Docklands,157,9284,3387,12671,2.856,-37.81851829412262,144.9416850851487,55.0,80.7,26.7,1107.7
Southbank,125,12357,3784,16141,1.596,-37.82529018627908,144.96176162794978,78.3,129.1,23.4,123.2
North Melbourne,62,2771,753,3524,2.408,-37.79844895689088,144.94506274103145,25.7,56.8,21.4,138.5
West Melbourne (Residential),40,1429,244,1673,0.86,-37.808460189256294,144.94942867521925,46.5,41.8,14.6,60.0
Melbourne (Remainder),31,1695,979,2674,2.668,-37.828764031547315,144.97838992382978,11.6,86.3,36.6,93.8
East Melbourne,28,1567,451,2018,1.909,-37.814581164837946,144.9825008488323,14.7,72.1,22.3,40.0
Parkville,26,1477,681,2158,4.051,-37.78711656492933,144.9515603312268,6.4,83.0,31.6,116.7
Kensington,24,1064,208,1272,3.809,-37.79152998205382,144.9204996881507,6.3,53.0,16.4,1100.0
Port Melbourne,15,613,299,912,5.47,-37.83183174511404,144.91223395712774,2.7,60.8,32.8,650.0
South Yarra,8,555,189,744,1.058,-37.83760704949379,144.98292521995853,7.6,93.0,25.4,33.3
