year,zone,cafe_count,total_seats,rank
2002,Carlton,120,11101,2
2002,Docklands,13,4925,8
2002,East Melbourne,20,2917,6
2002,Kensington,2,84,12
2002,Melbourne (CBD),581,47183,1
2002,Melbourne (Remainder),16,6907,7
2002,North Melbourne,26,1348,4
2002,Parkville,12,1148,9
2002,Port Melbourne,2,91,13
2002,South Yarra,6,590,11
2002,Southbank,56,7412,3
2002,West Melbourne (Industrial),7,418,10
2002,West Melbourne (Residential),25,1225,5
2003,Carlton,123,11554,2
2003,Docklands,27,7034,5
2003,East Melbourne,24,4058,7
2003,Kensington,2,84,12
2003,Melbourne (CBD),581,47183,1
2003,Melbourne (Remainder),16,6907,8
2003,North Melbourne,32,1765,4
2003,Parkville,13,1528,9
2003,Port Melbourne,2,91,13
2003,South Yarra,6,590,11
2003,Southbank,56,7412,3
2003,West Melbourne (Industrial),7,418,10
2003,West Melbourne (Residential),25,1112,6
2004,Carlton,123,11554,2
2004,Docklands,27,7034,5
2004,East Melbourne,24,4058,7
2004,Kensington,2,104,13
2004,Melbourne (CBD),603,49769,1
2004,Melbourne (Remainder),19,7418,8
2004,North Melbourne,32,1765,4
2004,Parkville,13,1528,9
2004,Port Melbourne,5,373,12
2004,South Yarra,7,585,10
2004,Southbank,57,7540,3
2004,West Melbourne (Industrial),7,418,11
2004,West Melbourne (Residential),25,1112,6
2005,Carlton,134,12188,2
2005,Docklands,55,10814,4
2005,East Melbourne,31,6012,6
2005,Kensington,2,104,13
2005,Melbourne (CBD),631,52145,1
2005,Melbourne (Remainder),19,7418,8
2005,North Melbourne,38,1964,5
2005,Parkville,13,1513,9
2005,Port Melbourne,5,373,12
2005,South Yarra,7,585,10
2005,Southbank,57,7540,3
2005,West Melbourne (Industrial),6,378,11
2005,West Melbourne (Residential),27,1237,7
2006,Carlton,134,12188,2
2006,Docklands,55,10814,4
2006,East Melbourne,31,6012,6
2006,Kensington,3,137,13
2006,Melbourne (CBD),662,53459,1
2006,Melbourne (Remainder),19,7377,8
2006,North Melbourne,38,1964,5
2006,Parkville,13,1513,9
2006,Port Melbourne,6,464,11
2006,South Yarra,8,662,10
2006,Southbank,63,8387,3
2006,West Melbourne (Industrial),6,378,12
2006,West Melbourne (Residential),27,1237,7
2007,Carlton,145,12953,2
2007,Docklands,67,11460,3
2007,East Melbourne,35,5863,6
2007,Kensington,3,137,13
2007,Melbourne (CBD),679,53956,1
2007,Melbourne (Remainder),19,7377,8
2007,North Melbourne,40,2145,5
