date,price_usd_lb,price_label
1992-01-01,0.73,
1992-02-01,0.693,
1992-03-01,0.699,
1992-04-01,0.665,
1992-05-01,0.608,
1992-06-01,0.594,
1992-07-01,0.583,
1992-08-01,0.534,
1992-09-01,0.517,
1992-10-01,0.508,
1992-11-01,0.525,
1992-12-01,0.751,
1993-01-01,0.718,
1993-02-01,0.674,
1993-03-01,0.647,
1993-04-01,0.584,
1993-05-01,0.617,
1993-06-01,0.632,
1993-07-01,0.705,
1993-08-01,0.762,
1993-09-01,0.811,
1993-10-01,0.766,
1993-11-01,0.792,
1993-12-01,0.826,
1994-01-01,0.796,
1994-02-01,0.832,
1994-03-01,0.87,
1994-04-01,0.909,
1994-05-01,1.172,
1994-06-01,1.334,
1994-07-01,2.014,
1994-08-01,1.991,
1994-09-01,2.187,
1994-10-01,2.073,
1994-11-01,1.881,
1994-12-01,1.623,
1995-01-01,1.711,
1995-02-01,1.675,
1995-03-01,1.792,
1995-04-01,1.732,
1995-05-01,1.732,
1995-06-01,1.586,
1995-07-01,1.403,
1995-08-01,1.51,
1995-09-01,1.371,
1995-10-01,1.271,
1995-11-01,1.253,
1995-12-01,1.064,
1996-01-01,1.08,
1996-02-01,1.248,
1996-03-01,1.208,
1996-04-01,1.219,
1996-05-01,1.296,
1996-06-01,1.25,
1996-07-01,1.237,
1996-08-01,1.255,
1996-09-01,1.198,
1996-10-01,1.238,
1996-11-01,1.239,
1996-12-01,1.169,
1997-01-01,1.312,
1997-02-01,1.663,
1997-03-01,1.934,
1997-04-01,2.054,
1997-05-01,2.656,
1997-06-01,2.268,
1997-07-01,1.902,
1997-08-01,1.911,
1997-09-01,1.909,
1997-10-01,1.691,
1997-11-01,1.603,
1997-12-01,1.768,
1998-01-01,1.769,
1998-02-01,1.784,
1998-03-01,1.584,
1998-04-01,1.503,
1998-05-01,1.389,
1998-06-01,1.267,
1998-07-01,1.169,
1998-08-01,1.236,
1998-09-01,1.129,
1998-10-01,1.094,
1998-11-01,1.161,
1998-12-01,1.171,
1999-01-01,1.142,
1999-02-01,1.048,
1999-03-01,1.051,
1999-04-01,1.028,
1999-05-01,1.114,
1999-06-01,1.081,
1999-07-01,0.958,
1999-08-01,0.915,
1999-09-01,0.845,
1999-10-01,0.928,
1999-11-01,1.125,
1999-12-01,1.232,
2000-01-01,1.119,
2000-02-01,1.04,
2000-03-01,1.007,
2000-04-01,0.946,
2000-05-01,0.915,
2000-06-01,0.869,
2000-07-01,0.877,
2000-08-01,0.793,
2000-09-01,0.758,
2000-10-01,0.768,
2000-11-01,0.714,
2000-12-01,0.659,
2001-01-01,0.657,
2001-02-01,0.673,
2001-03-01,0.667,
2001-04-01,0.66,
2001-05-01,0.696,
2001-06-01,0.638,
2001-07-01,0.589,
2001-08-01,0.593,
2001-09-01,0.583,
2001-10-01,0.564,
2001-11-01,0.588,
2001-12-01,0.566,
2002-01-01,0.582,
