date,series,index
2015-01-01,Arabica (global),100.0
2015-02-01,Arabica (global),94.3
2015-03-01,Arabica (global),84.8
2015-04-01,Arabica (global),86.5
2015-05-01,Arabica (global),83.6
2015-06-01,Arabica (global),84.2
2015-07-01,Arabica (global),81.4
2015-08-01,Arabica (global),82.8
2015-09-01,Arabica (global),77.1
2015-10-01,Arabica (global),80.8
2015-11-01,Arabica (global),78.0
2015-12-01,Arabica (global),78.4
2016-01-01,Arabica (global),76.7
2016-02-01,Arabica (global),77.9
2016-03-01,Arabica (global),83.1
2016-04-01,Arabica (global),81.3
2016-05-01,Arabica (global),81.8
2016-06-01,Arabica (global),87.3
2016-07-01,Arabica (global),90.6
2016-08-01,Arabica (global),88.4
2016-09-01,Arabica (global),93.0
2016-10-01,Arabica (global),94.4
2016-11-01,Arabica (global),97.1
2016-12-01,Arabica (global),85.3
2017-01-01,Arabica (global),88.9
2017-02-01,Arabica (global),87.7
2017-03-01,Arabica (global),84.5
2017-04-01,Arabica (global),82.0
2017-05-01,Arabica (global),79.1
2017-06-01,Arabica (global),75.5
2017-07-01,Arabica (global),79.0
2017-08-01,Arabica (global),79.0
2017-09-01,Arabica (global),77.3
2017-10-01,Arabica (global),74.2
2017-11-01,Arabica (global),74.3
2017-12-01,Arabica (global),72.4
2018-01-01,Arabica (global),73.2
2018-02-01,Arabica (global),71.9
2018-03-01,Arabica (global),71.2
2018-04-01,Arabica (global),70.8
2018-05-01,Arabica (global),71.5
2018-06-01,Arabica (global),70.7
2018-07-01,Arabica (global),68.9
2018-08-01,Arabica (global),66.0
2018-09-01,Arabica (global),63.9
2018-10-01,Arabica (global),72.4
2018-11-01,Arabica (global),72.3
2018-12-01,Arabica (global),67.0
2019-01-01,Arabica (global),67.7
2019-02-01,Arabica (global),67.7
2019-03-01,Arabica (global),65.3
2019-04-01,Arabica (global),63.8
2019-05-01,Arabica (global),63.6
2019-06-01,Arabica (global),68.4
2019-07-01,Arabica (global),71.4
2019-08-01,Arabica (global),66.6
2019-09-01,Arabica (global),68.0
2019-10-01,Arabica (global),67.0
2019-11-01,Arabica (global),74.3
2019-12-01,Arabica (global),82.3
2020-01-01,Arabica (global),75.4
